,Tweets
55,@ncbn @narendramodi Then why sir you joined with bjp
56,"RT @ras10121836: @panditRajoriyaG @mishra_dhn अभिनंदन को दुश्मनने रिहा किया।
BJP सरकार शर्मसार हुवा।"
57,RT @JhaSanjay: These two #BJP leaders tell you all we need to know as to why we must reject them wholesale in April/May 2019. Disgraceful!…
58,RT @BJP4Delhi: केजरीवाल अपनी हार से इतने भयभीत हैं कि कांग्रेस के सामने गठबंधन के लिए बार-बार हाथ जोड़े खड़े हैं पर कांग्रेस तैयार नहीं हो…
59,"@venkatramane @sumanthraman He wont....bcos his eyes &amp; mind are trained only for BJP fault finding, this incident a… https://t.co/zi1ph53e93"
60,"RT @RealHistoryPic: Today:

1) Rafale file stolen from Defense Ministry.

2) BJP MP beats Black &amp; Blue to a BJP MLA.

3) A youth thrashed b…"
61,"RT @sunerdhakad: इतना तो अंग्रेजों ना भी नहीं लूटा था

 जितना इन नेता लोगों ने लूटा है देश को👇👇 https://t.co/nnRf1pZFh0"
62,"RT @BJP4Nagaland: The people of Nagaland have united in one voice and stands strong with the BJP.

#MeraParivarBhajapaParivar https://t.co/…"
63,अगले हमले में विपक्षी नेताओं को विमान में बांधकर ले जाए वायुसेना : वीके सिंह.... वायु सेना को राजनीति में क्यूँ घसी… https://t.co/f1DNecs60K
64,"@Dhaval_BJP @JahnaviJain_ @AamAadmiParty एक बात सच कहां घुंघरू सेठ ने कि चाहे कुछ भी हो जाए कज्जू दलालों ,कमीशन खो… https://t.co/6q12BILOU5"
65,"RT @ShobhaBJP: Desperate #MamataBanerjee her self ordered to lathi charge on #BJPVijaySankalpBikeRaly.

Watch this horrible video to know t…"
66,"RT @AbhishBanerj: Siddaramaiah says he is scared of people wearing tilak on forehead

Imagine outrage of media/intellectuals if a top BJP l…"
67,RT @Jal_Kukdi: This man should be made BJP spokesperson 😂 https://t.co/4LTQ2un5lg
